text,label
selangor's government increase tighten standard operating procedure sop ramadan bazaar following pandemic phase transition endemic april ,POSITIVE
post covid cough make mismare cough lie old man pcr positive returned malaysia ,NEGATIVE
since weeks covid malaysia case unstable mysejahtera send message casual contact tired serving,NEGATIVE
group came mosque prayer closed facemask self-esteemed mosque close follow sop last week priest can't covid one kariah impressed pray places know years one malaysia prayer ,POSITIVE
malaysia skeleton season fever flu covid get take care more than drink ripe water,POSITIVE
since year covid still exist humans guilty went umrah without declare selfitive,NEGATIVE
people high vaccination rate may good standing good luck covid perspective economy,POSITIVE
reformist people fight covid vaccine i've seen side really old man relevant anymore experience indeed old man find someone else want stabilize this  malaysia pandemic ,NEGATIVE
transition phase endemic two years fighting contagion outbreak eventually malaysia turned transition endemic phase came force april however people advised comply set sop ,POSITIVE
at uk covid dangerous malaysia still dangerous medicine fluid,NEGATIVE
amount involved local cases import cases,NEGATIVE
elderly chronic illness resides positive individuals ,NEGATIVE
since pandemic hit country staff stopping terminated,NEGATIVE
"vaccine  update apple health apps nice travel overseas coat  asked covid vaccine show apps use show,but still want see my sejahtera",POSITIVE
advantages vaccine purchased selangor state government sold abroad one strategies spending vaccine stock ,POSITIVE
number cases due omicron's variants seen horizontally said health director-general dr noor hisham abdullah said ,POSITIVE
pever six million deaths due virus previously infect million people worldwide million people malaysia including died get arymy riscana,NEGATIVE
alorsetar prisons department malaysia successfully reduces contagion infection following existence satellite prisons acceptance transit center ptp established country since,POSITIVE
happy get ppc thank kkm happy cries en ong kar tong taman delima kluang johor expressed gratitude moh malaysian government care package ppc,POSITIVE
pandemic changed way education taught school pandemic paved way malaysia become digital society line global trends,POSITIVE
yup sorry say medical card insurance malaysia scam sick covered cover want enter expert clinic or go take covid test pay to go hospital govt but you knew like must pay,NEGATIVE
malaysia grateful egypt providing vaccine malaysians live country total malaysian students vaccinated,POSITIVE
putrajaya malaysia recorded increase cases death due yesterday making individuals killed epidemic two years pandemic hit country,NEGATIVE
vaccine important children aged five years especially country begin transition phase endemic april according ministry health malaysia moh,POSITIVE
weird  crazy two members test pcr germany negative back malaysia malaysia test pcr positive one one new one healed covid week must quarantine,NEGATIVE
malaysia government sees need wear facemask post-covid patient matter covid pon admit post-covid patient purely wear mask,POSITIVE
kualalumpur malaysia recorded total cases death due yesterday making total number victims killed epidemic reaching cases,NEGATIVE
total covid case malaysia million total population malaysia million covid majority yet covid special,NEGATIVE
don’t  please neglect covid still contagious epidemic fun legatives political people possessed powers deaths yesterday died without treatment hospital,NEGATIVE
malaysia expected surpass peak omicron variants end month signs decline infections begun seen time full video,NEGATIVE
 although hong kong communist colony new covid people need take vaccine days malaysian doctors care call getting vaccine ,NEGATIVE
the wolrd still far away endemic malaysia alhamdulillah process mean gone even live extra precautions necessary avoid infection reduce symptoms symptoms ,POSITIVE
expected last upon omicron infection month ends,POSITIVE
nice malaysia many people control mosque children cannot go mosque cause covid sop enter shopping complex,NEGATIVE
still also parents concerned long-term impact vaccine well receiving false information scattered social media,POSITIVE
active cases recorded undergoing self-quarantine ,NEGATIVE
 covid case data issued ministry health malaysia false,NEGATIVE
 prepare ppv children's children's celebration sabah children still welcome,POSITIVE
vaccine important children aged five years especially country begin transition phase endemic april according ministry health malaysia moh,POSITIVE
covid omicron effectiveness existing vaccines protecting infection less delta effectiveness protecting serious illness still high,POSITIVE
april covid common disease malaysia..demam cough flu commonplace contagious,POSITIVE
flu fever fever name science covid grabbed nearly people malaysia covid quickly disappeared,NEGATIVE
active cases recorded undergoing self-quarantine ,NEGATIVE
april new start malaysia switch endemic phase phase endemic exit strategy allow us return almost normal life almost years battle,POSITIVE
this april malaysia ready enter endemic transition fascination,POSITIVE
covid feel strange critical cases children rise now children's vaccination program starts case suddenly vaccine org well adult vaccine,POSITIVE
of march number cases reported malaysia cases making cumulative amounts cases detailed information uploaded covidnow page,POSITIVE
active cases recorded undergoing self-quarantine ,NEGATIVE
health ministry recorded new cases last hours cases compared previous day malaysia,POSITIVE
balance part serious afi reports received involving death among vaccine receivers ,NEGATIVE
kkmputrajaya updated death case death vaccinationed cause malaysia expert tell lied instead truth ,NEGATIVE
null vaccine six serious cases injection effects involve children accepted ,NEGATIVE
amount involved local cases import cases,NEGATIVE
of march number cases reported malaysia cases making cumulative amounts cases detailed information uploaded covidnow page malaysia,NEGATIVE
active cases recorded undergoing self-quarantine,NEGATIVE
null senior women died home labuan case per,NEGATIVE
number cases due omicron's variants seen horizontally said health director-general dr noor hisham abdullah said ,POSITIVE
 first time high active case decrease,POSITIVE
menses minister health rtk-ag cheaper easily available market sufficient detect positive cases compared expensive rt-pcrs malaysianow news flashnews malaysia covid pcr rtk,POSITIVE
covid malaysia so scary  cases,NEGATIVE
 definitely malaysia yet like covid case map shown city beijing china developer he's alibaba company alipay app,NEGATIVE
miss since baby rarely see two baby pandemic nothing staff case covid still cry at  malaysia hopefully soon dating tgk movie back like normal,POSITIVE
 case malaysia high,NEGATIVE
kuala lumpur malaysia recorded total cases death due yesterday making total number victims killed epidemic reaching cases,NEGATIVE
total covid case malaysia million total population malaysia million covid majority yet covid not rare species who is covid patient,NEGATIVE
 number positive cases malaysia march increase,NEGATIVE
 covid case data issued ministry health malaysia false,NEGATIVE
eventtering economy endless covid case unstable politics also choose bn umno handful malaysian stupid people,NEGATIVE
from new cases recorded friday categories scraping the case was decrease,NEGATIVE
death case recorded malaysia yesterday silver recorded highest figure cases,NEGATIVE
"people malaysia million covid cases is rare , huhu may cured abolished this covid ameen",POSITIVE
kkmputrajaya responsibility prime minister launched malaysian family day days knew covid's infection cases began spread examples already case sarawak fews day,NEGATIVE
malaysia recorded positive case yesterday cases compared yesterday cases thus overwhelming cases healed,NEGATIVE
pore cases infection reported january mid-fabruaries ,NEGATIVE
there new death cases due infection recorded yesterday ,NEGATIVE
 suprised blame vaccine vaccine sacred malaysians built different badang descent ones much aefi midfish much say even though pages type side effect go get dose,NEGATIVE
auniez inappropriate non-vaccine enter malaysia quarantine fully vaccinated alone need quarantine kind incomplete vaccine dine-in etc,POSITIVE
only congregation complete two doses vaccine booster dose allowed attend friday prayers entire selangor mosque february malaysia terkini,POSITIVE
" malaysia anymore vaccine everywhere,we exhausted vaccine program booster booster case mcm tugge leardiriyethe protectionall",NEGATIVE
 roughly risk death without vaccine booster,POSITIVE
 many countries like spain open border tourists injected vaccine since november langkawi international tourism bubble malaysia stop ban border need test amp rules control millions tourists,POSITIVE
 sometimes weird malaysia's vaccine receiver rate increases among world's top deaths also worrisome asean countries explain,NEGATIVE
yesterday's daily vincaction saw vaccine doses ,POSITIVE
null vaccine percent children malaysia accept serama injection,NEGATIVE
while teenage populations completed vaccination ,POSITIVE
 malaysia contribute million vaccine doses afghanistan effort help turbulent country however matter still process negotiating rulers afghanistan,POSITIVE
see western countries well impressed regard worst worries time dangerous infection children parents malaysia ready feel regret day many vaccine yet,POSITIVE
wow new zealand already open border malaysia also enter important full vaccine,POSITIVE
reformist people fight covid vaccine i've seen side really old man relevant anymore experience indeed old man find someone else want stabilize malaysia pandemic ,NEGATIVE
malaysia contribute million vaccine doses afghanistan effort help turbulent country deputy foreign minister datuk kamarudin jaffar said,POSITIVE
malaysian children receive first dos vaccine,POSITIVE
 malaysian like forced let looking vaccine themself,NEGATIVE
malaysia inconstribute million doses vaccine afghanistan however deputy foreign minister datuk kamarudin jaffar said matter still process negotiations authorities afghanistan https,POSITIVE
"health ministry moh proposed use methods united states singapore creating vaccine court vaccine court determine cause individual death case malay""&""siadateline",POSITIVE
 media statement media pharmacy division national ministry health malaysia status report adverse impact follow-up immunization aefi vaccine march,POSITIVE
teenage population completed vaccination ,POSITIVE
yesterday's daily vincaction saw doses given ,POSITIVE
many apple feature support near malaysia among digital vaccines near apple wallet apple pay ,POSITIVE
advantages vaccine purchased selangor state government sold abroad one strategies spending vaccine stock malaysia ,POSITIVE
government malaysia's government develop oral vaccines nasal spray welcomed vaccine industry drivers part national vaccine development plan ppvn,POSITIVE
infinity malaysia lot facts forged works malaysia cheated government cheated experts solely power that's weak unethical people cheated used vaccines help anything,NEGATIVE
 malaysia make study doses vaccine,POSITIVE
percent teen population malaysia complete vaccination ,POSITIVE
many individuals per cent group received least one dose vaccine,POSITIVE
many doses vaccine given yesterday,POSITIVE
while teenage populations completely vaccinated ,POSITIVE
vaccine important children aged five years especially country begin transition phase endemic april according ministry health malaysia moh,POSITIVE
moh determines cause death seems bit biased ,NEGATIVE
yesterday vaccine doses provided covering doses first second ,POSITIVE
hope become lesson malaysian society we've last year special orders want take booster dos amp child's vaccine think need,POSITIVE
 japanese vaccinated times hmm malaysia booster for sure,POSITIVE
 children aged five years kelantan received injection vaccine yesterday ,POSITIVE
ppv vaccination center established shopping complex give vaccine dose children vaccination rate among group state still low ,POSITIVE
malaysia-singapore's complete travel route vtl malaysia-singapore increased people people starting next monday ,POSITIVE
 ministry health moh carry vaccine children aged years february mrna vaccine comirnaty concentrate dispersion pfizerbitech used,POSITIVE
kuota daily passengers malaysia-singapore vaccine vtl vaccine completion initiative increased people monday march transport minister datuk seri dr wee ka siong,POSITIVE
just rilex want vaccine saudi vaccines malaysia still vaccine plus booster,POSITIVE
even unwillingly sees majority malaysians continue sleep unconscious cheated little bit proud smarter many doctors malaysian doctors follow blessing vaccine failed times please take note guys went full retard,POSITIVE
march daily quota vaccine vtl daily vaccine singapore increased passengers daily malaysian transport minister datuk seri ir dr wee ka siong authentic ,POSITIVE
entered one baggage carried vaccine complete travel route vtl malaysia-singapore vaccine,POSITIVE
alhamdulillah malaysian parents stupid give proven experimental vaccine fail times children take risk heart disease avoid regular flu ignorance doctors take vaccine commissions believes effective vaccine,POSITIVE
just know turned vaccine amp booster malaysia must pay wtf,NEGATIVE
let malaysia malaysian boycott vaccine vaccine actually give long-term harm non authentic facts malaysian government actually nk reduce people's population benefit,NEGATIVE
 death case detention tricked vaccine article true aefi idle oh malaysia,NEGATIVE
vaksin percent child population malaysia accept injection,POSITIVE
there doses vaccine given wednesday bringing cumulative amount vaccine dosage given pick,POSITIVE
there individuals percent population children five years old malaysia received first dose vaccine via pickids yesterday ,POSITIVE
there individuals per cent population five years old malaysia received first dose vaccine children's immunization program pickids far yesterday,POSITIVE
child population malaysia receive vaccine,POSITIVE
kualaumpur individuals per cent population children five years old malaysia received first dose vaccine,POSITIVE
 malaysia anti-vaccine ask go malaysian government instructed booster yes want abroad,POSITIVE
this hopefully malaysian government dream vaccine anymore,NEGATIVE
according categories three five categories cases involving non-vaccinated uncompleted individuals cases received two doses vaccine received booster dose ,NEGATIVE
singapura working malaysia allow complete traveler receive vaccine across land border transport modes ,POSITIVE
started april vaccine incomplete traveler must quarantine days arriving ,POSITIVE
children march malaysianow news flashnews malaysia ,POSITIVE
rumors blowing country's borders open april noisy booster vaccine rumor expire true april somehow may allah swt simplify malaysians,NEGATIVE
ministry health malaysia moh closes mega vaccine ppv centers due high location rental costs,POSITIVE
 health expert  view malaysians seen ready enter phase endemic extensive exposure information since outbreak hit country almost two years,POSITIVE
i million appointments received moh february one million received vaccination ,POSITIVE
 children aged five years kelantan received injection vaccine yesterday ,POSITIVE
latest children teenage years old regardless vaccination status need quarantine arrival malaysia khairy getaranmy vaccine,POSITIVE
malaysia league  postponed matches sop ,NEGATIVE
 try avoid bringing children crowded places protect safety children exposed pm coronavirus sop ramadan,POSITIVE
 asean family sop relaxation april need least completed primary dose vaccine participate malaysia vaccinated sop relaxation,POSITIVE
tamilnadu director public health lifted/withdrawn restrictions issued public health act prevent pandemic since state achieved coverage amp amp dose vaccination years however instructed public follow sop,POSITIVE
mosques surau congregations must continue practice new normal prevent emergence new clusters ,POSITIVE
muslims advised adhere sop despite relaxations mosque surau ,POSITIVE
 reopening country though considered small welcome step restricted homes past months says tan sri lee lam thye sop health endemic,POSITIVE
confusion among travellers thailand test requirements travel malaysia border reopened today border thailand sop travellers,NEGATIVE
malaysia transition endemic phase adhere sop,POSITIVE
 two years battling pandemic malaysia enters phase reopening borders need know current sop remove mask outdoors endemicity,POSITIVE
finally endemik phase take care stay safe everyone still watch sop do the best,POSITIVE
 another opportunity heal country stop prosecution sop violation suspects even moh rolled back sops release bikes cj showed us deescalate,POSITIVE
 zara boutique hotel owner managing director eliza goh said prioritised training hotel staff members handle situations involving infection sabah hotelier sop,POSITIVE
"BEHIND THE PANDEMIC, THERE ARE THOSE WHO PLAN AND NOW BENEFIT THE WORLDCourage for truth.AWARE EVERYONE GETS UP !!SHARE TO YOUR LOVED ONES, FRIENDS, NATION AND COUNTRY.",NEGATIVE
"Millions of pharmaceutical swallows made from venomous peptides derived from venomous snakes, rattlesnakes, toxic cone snails, leeches, Crazy monster lizards & more. Drugs in development have been made from creatures such as Deathstalker scorpions or even vampire bats",NEGATIVE
"This is because it is controlled by so -called global cartels.By parties like Bill Gates, Rothschild and so on.This group of freemason dogs controls the World Health Organization (WHO).This is true,WHO is controlled by them,and it is this group that is touted as globalists",NEGATIVE
"Now this,vaccines released by the company (associated with this group),such as the pharmaceutical company Pfizer,is temporarily for emergency use.This is because there is no other vaccine to treat the Covid-19 outbreak,that's the real thing.",NEGATIVE
"content in the Pfizer vaccine,that is, the type of mRNA,it's not a virus,not even germs,instead a type of protein wrapped in fat.",NEGATIVE
I hope you all can help more Malaysians who are facing health problems because of this COVID 19 VACCINE.,POSITIVE
"ha.a this time, I really refused to finish ... because I already felt the harm ... I wanted to pray and was disturbed because I wanted to scratch a lot of movement",NEGATIVE
"My mother, when she got covid, always had cloves ... Alhamdulillah, the effect of covid was not very bad ... just had a fever",POSITIVE
"bullshit. As long as you can avoid, avoid data entry. But if I have close contact, I want to make it right",NEGATIVE
That's right. That's why I took my son to be vaccinated.,POSITIVE
"Spike protein in the vaccine guys..clap your forehead like this if you have taken the vaccine, you don't even know what to say..I'm sorry it's useless.it looks healthy but the fact is the inside is being damaged..what if the boys are take it",NEGATIVE
"Following the UK’s decision to roll out the Covid vaccine to all children aged 5-11 from April, And over 300 healthcare professionals have signed an open letter from the Children’s Covid Vaccine Advisory Group (CCVAG) calling for the vaccine Covid UK was discontinued immediately which was launched to children.",POSITIVE
"My family has 3 people dead.My mother, my mother's sister and my stepmotherMy mother's youngest sister is paralyzed",NEGATIVE
"The case of Rafiq's brother who was paralyzed after taking the second dose of vaccine. Alhamdulillah ikhtiar with the wind detox formulation of Dr MROSNI, rafiq blh bgn, walk and pray as usual.",POSITIVE
Vaccines Are A Bed & Breakfast For Devils & Jinn,NEGATIVE
"The second dose is an injection of a specific poison that uses aborted fetal material, which is preserved with alcohol, also includes monkey kidneys, as well as a wide variety of ingredients, lotions and toxic substances.",NEGATIVE
"Their sacred verses. ""vaccines, benefits outweigh harms"". And the selling point that causes people to be deceived is ""the effect of taking the vaccine is much lower than that of not taking it. Their slander is so great that many family members who have left still believe that they died because of covid, not the vaccine",NEGATIVE
Those who have a voice about covid are also from Zul. Others just promote vaccines. That's good.,POSITIVE
"The time right now is really not suitable to send a child to school..if you are stubborn, you will face a child in quarantine, go to a low oxygen ward, go to an oxygen machine",POSITIVE
"This kind of liar has been appointed as a leader, it is clear that he is cheating. In the current phase, children become victims ... positive cheating.",NEGATIVE
"Send our greetings to Adik Rafiq. God is the Healer. Keep trying and don't give up, bro",POSITIVE
"I started rejecting the vaccine since 1992..because I got early exposure.I have 2 children who have not been vaccinated since birth, one is 18 years old, one is 22 years old..healthier and easier to take care of.alhamdulillah",POSITIVE
"no coercion or intimidation. That's the employer's right, just like your wife's right not to be vaccinated",POSITIVE
"Vaccines will not make us 100% free of covid. From the beginning it was like that. Understand what the purpose of the vaccine is. The simplest example, the rota virus vaccine. My son took the vaccine, he got it, but it wasn't bad at all. Unlike people who do not take the vaccine. The purpose of the vaccine, no matter what type of vaccine, is not to make us 100% unsuitable",POSITIVE
Covid19 infection is out of control and will infect everyone !!!,NEGATIVE
Which do you believe?1) Dr Robert W Malone (MD) and scientists from USA 2) Dr KJ KKM from Medical College of Rembau Facts from which you can receive,NEGATIVE
"f anyone is experiencing the effects of the vaccine/booster such as heart inflammation, shortness of breath, Bell Palsy, stroke, cancer, Slip Disc, blood clots, lack of oxygen, shortness of breath, hard tongue, numbness in the legs, chest tightness, migraine, and lain2 IMMEDIATELY GET TREATMENT AT DR RAY MALAYSIA, in shaa Allah we can help you recover as usual. We are the ONLY ones who offer comprehensive treatment for those who have been vaccinated and affected by the vaccine.",POSITIVE
"TO MOTHERS WHO HAVE TAKEN THE BREASTFEEDING VACCINE, PLEASE STOP BREASTFEEDING. BECAUSE THE DANGEROUS VACCINE CONTENT CAN CAUSE THE DEATH OF YOUR BABY'S KPD AFTER 2-3 YEARS LATER. PLEASE FIND COW'S MILK /SOYA MILK FOR CHILDREN",NEGATIVE
No booster no fasting feast No booster no masjid,NEGATIVE
Crazy to have a job..government is more desperate when the booster can't be welcomed ..,NEGATIVE
That's not right. Not because many people are positive Tap water can also be positive,NEGATIVE
"Test kit rake. My brother for a moment can be positive, for a moment negative. Isn't their agenda efficient ???",NEGATIVE
"DNA gathered from PCR swabs sold for millions and stored indefinitely. Remember, this is part of biometric control to have your DNA fingerprint in store. It can also be potentially used to frame you in a staged crime scene",POSITIVE
"People who have been vaccinated will suffer damage to the ORGAN2 in the body including the kidneys, ovaries (can not give birth to the vaccine), heart disease, Bell Palsy, stroke, nerve pain, back pain, migraine,itching,vomiting, in addition to DNA in the body. It's broken. Don’t worry Dr Ray’s therapy can help treat and cure all of these problems. In shaa Allah, many are impressed that we help. Can pm sy for more information. 011-6396 2339",NEGATIVE
"One more thing, the blood of people who have not been vaccinated can be sold to those who have been vaccinated, so if the vaccine confirms that they are infertile, the man's sperm will not work. So the blood of people who have not been vaccinated is EXPENSIVE",NEGATIVE
Vaccine recipients who have AEFI are advised to report it through the * correct channel * provided by the MOH.,POSITIVE
How can your child become a Fellow in the Ministry of Finance?What's the secret?My children are all graduates butare sitting at home BECAUSE SOP CRAZY PORK AND I SWEAR ALL YOUR DESCENDANTS WILL FAIL .... START FROM THECURRENT GENERATION ..THE PEOPLE ARE HARD AS IF THEY WANT TO DIE ... BUT YOUR CHILDREN ARE RECOMMENDED BY THE MALAYSIAN FINANCIAL CAMP ..SATAN !!!,NEGATIVE
"UK - Children - Covid-19 Injection Harm - Per MHRA to 9th February 20223,334 children now harmed (includes undisclosed fatalities)3.2 million first doses administered to children and 1.5 million second doses - per MHRA",POSITIVE
"Arriving after the active vaccination program after entering the booster, it became more and more active",POSITIVE
The booster dose will save you from the torment of the grave let's get it fast it will intercede in the grave and illuminate your grave,NEGATIVE
"Kesian, a boy with high aspirations, wants to be a policeman, study hard, with his taekwondo . it's already extinct like that, just imagine ... what does it feel like in our place, the mindset of the Malays now..more to..no no hit me. why are you so noisy, that's why until now we continue to be fooled by kj",NEGATIVE
"*Covid plague scammers*Now it's the season for people to get high fever fever .. Among the reasons is the spread of virus cloud seeding and also viruses mixed in every water we use .. Stay alert ..Do you know?DiabetesHigh blood pressureWeak heartIs the disease programmed for the Malay ummah?If you don't believe, go to the hospital and they will say that the above diseases have no cure and can only be controlled.Let's get rid of this disease starting from cupping",NEGATIVE
Then. Prick the vaccine for what. Not to prevent death and avoid getting infected with covit right?,NEGATIVE
Many reject boosters,NEGATIVE
"By now, everyone has heard that the COVID vaccine causes myocarditis, especially in young people; however, its importance is downplayed in the media as well as in official medical publications. In the 11 -minute video posted below, Josef Thoma MD/PhD, a general practitioner from Berlin, explains the true meaning of a myocarditis diagnosis: although it appears to have healed, patients are left with a lifetime risk of sudden cardiac death, and often also with stamina and quality reduced life. Thoma presents some recent observations on post-mortem material from vaccine victims, made by pathology professors Burkhardt and Lange, that bring home the serious nature of vaccine-induced myocarditis. He ends with an appeal to us to protect our children",POSITIVE
"Michael Palmer, MD and professor of biochemistry, explains why all mRNA vaccines will cause cell and tissue damage not only once but also after each booster injection",POSITIVE
I've never seen a person who bothered himself until now. It doesn't make sense. Why put yourself in ruin.,NEGATIVE
KJ wants to normalize stroke because this is one of the aefi that will hit and destroy those who have received the vaccine,NEGATIVE
"our understanding of viruses is growing. We know that susceptibility to death due to COVID-19 is over a thousand times higher in the elderly and infirm than in young people. Indeed, for children ², COVID-19 is less dangerous than many other dangers, including influenza.",POSITIVE
"The big difference is that the covid vaccine with the skinny medicine, so the parable of the gang of dogtor2 short stories makes the parable of endless gossip, the minister of mcm is not a school giving immature analogy. Garbage level thinking. Immoral sarcasm.",NEGATIVE
We're good at doing tik tok after aefi but we're not good at seeing what before aefi,NEGATIVE
"Get the vaccine there, get the vaccine here, finally died in the hospital.",NEGATIVE
I've never seen a person who bothered himself until now. It doesn't make sense. Why put yourself in ruin,NEGATIVE
That's why ..I didn't allow my child to be vaccinated .. I was threatened by the school because my eldest son was a mrsm .. he had a bad temper .. after the second dose.,NEGATIVE
"Please sign this petition, we all rise up UPHOLD the truth and STOP COVID INJUSTICE 19. No one else will defend the People, only the rise of the People can change all these conspiracies. We want to live normally as usual and not the COVID19 CONSPIRACY ZALIM AGENDA",NEGATIVE
I would like to declare a temporary victory for all of us today as Khairy has stepped down from issuing Full Vaccine Status for SinoVac and Seniors and postponed the “New” Deadline to 31/03/2022. This means your status will change to White / Partially Vaccinated on Aprils Fool,POSITIVE
Khairy is only procrastinating because 40% so far have rejected the booster shot and he refuses to go too far to provoke anger among Malaysians. I would like to congratulate my Brothers and Sisters for successfully resisting the booster dose,POSITIVE
"What a pity ..if there is death, you are as smart as you like, covid said …",NEGATIVE
That is the consequence when he has been taken advantage of. The people told him that he was in a high level WHO,NEGATIVE
"It's hard for doctors to validate the causes of vaccines or boosters, that's what's difficult, because the things are right, I'm covering up ... other things",POSITIVE
"PATV requests the kind services of Vaccine Affected Complainants, chronic or mildly affected cases to attend the Council to sign an MoU between PPIM/NGO² allied with Huazong in protesting the Amendment of Act 342 (Amendment that oppresses the people) which will be tabled in Parliament on 28th Feb 2022.",POSITIVE
I took the second dose of vaccine and kept getting sick until now .... effect on my head I feel like I'm being pressed and I feel like I'm fainting,POSITIVE
The pity of the people suffered but was not considered,NEGATIVE
Malaysian children do not know but their parents are STUPID,NEGATIVE
Malaysia is a big people who follow the tyrannical government ... the end of this age must act ... not just follow,NEGATIVE
"What can I do to make you remember such a stupid kajjal? If the vaccine is very good, I don't want it to happen to all my children",NEGATIVE
"
Yes..we continue to make other Muslims aware..vaccines are poison",NEGATIVE
Alhamdulillah..for sure we all protect our children from being vaccinated,POSITIVE
"Assalamualaikum, my two children have a booster dose..but they still have covid.",POSITIVE
